pathNames,totalpDis,totalpDisNorm,ppDis,ppDis.fdr
RNA transport,65.87655660896915,-4.677831029286909,1.999960000799984e-5,4.018101456152695e-4
PPAR signaling pathway,87.7084894967273,5.245222732693083,1.999960000799984e-5,4.018101456152695e-4
Endocytosis,104.78957314184338,-4.911374747865008,1.999960000799984e-5,4.018101456152695e-4
Complement and coagulation cascades,147.82618057853898,8.768740285994028,1.999960000799984e-5,4.018101456152695e-4
Bile secretion,134.80110489401181,9.173202603593566,1.999960000799984e-5,4.018101456152695e-4
Mineral absorption,97.48054060494405,9.58266258584372,1.999960000799984e-5,4.018101456152695e-4
Amyotrophic lateral sclerosis,174.38999689309995,-4.839487962684822,1.999960000799984e-5,4.018101456152695e-4
Huntington disease,135.71227207816943,-5.052506124012339,1.999960000799984e-5,4.018101456152695e-4
Malaria,68.51119606306973,5.635283383507827,1.999960000799984e-5,4.018101456152695e-4
Staphylococcus aureus infection,98.47276402933807,5.365640187620413,1.999960000799984e-5,4.018101456152695e-4
Herpes simplex virus 1 infection,223.5893874229328,-6.010170664267098,1.999960000799984e-5,4.018101456152695e-4
ECM-receptor interaction,121.12310967581631,6.224764825366893,3.999920001599968e-5,7.366519336279942e-4
Cytokine-cytokine receptor interaction,315.81032669903254,4.43696005784557,5.999880002399952e-5,8.287334253314933e-4
Viral protein interaction with cytokine and cytokine receptor,136.72618726069672,5.074752367572349,5.999880002399952e-5,8.287334253314933e-4
Cell cycle,155.16472423471689,4.839201486373139,5.999880002399952e-5,8.287334253314933e-4
Oocyte meiosis,157.48716420280076,4.906081705417491,5.999880002399952e-5,8.287334253314933e-4
Parkinson disease,116.30890961809509,-4.082219455933986,2.1999560008799824e-4,0.002859942801143977
Shigellosis,113.13967188286782,-3.9330399933724465,2.599948001039979e-4,0.003192158379054641
Protein processing in endoplasmic reticulum,74.07042156084376,-4.090759688221079,2.799944001119978e-4,0.003256776969723764
MicroRNAs in cancer,148.48994683461962,3.8622717687075907,2.999940001199976e-4,0.0033149337013259734
Prion diseases,54.14448556973419,4.3675779539968955,4.99990000199996e-4,0.005022626820190869
Systemic lupus erythematosus,53.076928104362665,4.396772624929119,4.99990000199996e-4,0.005022626820190869
Neuroactive ligand-receptor interaction,308.8137131821628,3.4364703181041594,8.199836003279934e-4,0.007878972855325501
Alzheimer disease,205.98968231470494,-3.35653387595998,0.0012399752004959902,0.011418104971233911
Amoebiasis,107.0105664536901,3.542374090110181,0.0014399712005759885,0.012729345413091737
Autophagy - animal,69.45081593808219,-3.320607603549308,0.0016799664006719867,0.014078236953779443
p53 signaling pathway,83.00908325069669,3.454558739518286,0.0017199656006879863,0.014078236953779443
Transcriptional misregulation in cancer,149.32338626626026,3.015643815519652,0.003019939601207976,0.023835951852391526
