pathNames,totalpDis,totalpDisNorm,ppDis,ppDis.fdr
Sulfur relay system,3.863677199618092,-0.9051209333777367,0.32533733133433285,0.5763058320463829
Asthma,9.6874266383674,-0.32588277883252886,0.7231384307846077,0.839033362899702
Allograft rejection,10.917444937669682,-0.2983249099152905,0.7731134432783608,0.8664392803598201
Autophagy - other,12.838463015770817,-1.989767066527833,0.041979010494752625,0.16276072490070756
SNARE interactions in vesicular transport,14.510864446413759,-1.9387291178507948,0.046476761619190406,0.1770924882386393
Type I diabetes mellitus,16.302780702360145,0.049384869217880815,0.9665167416291854,0.9813373129948787
Maturity onset diabetes of the young,16.65427565803758,-0.356652357690727,0.7156421789105447,0.839033362899702
Autoimmune thyroid disease,17.5674624143564,-1.0352378398397566,0.2848575712143928,0.5353763796068067
Circadian rhythm,18.559547988343297,-0.8830877333823082,0.36031984007996004,0.5776500239089088
Hippo signaling pathway - multiple species,19.081765720345427,-0.6179310883188287,0.526736631684158,0.7182298421341476
Graft-versus-host disease,19.94052394990637,1.581914398684028,0.09995002498750624,0.283191737464601
Phototransduction,21.58651504619054,-0.3642394044893199,0.7166416791604198,0.839033362899702
Renin-angiotensin system,21.64236749687865,1.4489160958593785,0.14192903548225888,0.3524305263098788
Antifolate resistance,23.224209521491446,0.1426331869317008,0.8855572213893054,0.9319435520335071
Vasopressin-regulated water reabsorption,24.77008694750545,-1.347988426488105,0.17391304347826086,0.3938081464318346
Intestinal immune network for IgA production,25.553208256165924,0.2534761206626423,0.7926036981509246,0.871469737767932
Vibrio cholerae infection,25.643865903231628,-1.6938715107330922,0.08545727136431784,0.25871310919882523
Viral myocarditis,26.287315965581524,-0.45394430568733624,0.6351824087956022,0.7842196220325591
Apoptosis - multiple species,27.19159320806002,0.16653369537850946,0.8660669665167416,0.920196151924038
Notch signaling pathway,29.88610709860753,-1.5105330805017396,0.12043978010994502,0.32459989517436405
Homologous recombination,30.338828764797043,0.26305477111277653,0.7841079460269865,0.8664392803598201
Aldosterone-regulated sodium reabsorption,31.028460392638067,0.6619552012184571,0.5112443778110944,0.7182298421341476
RNA degradation,32.02882224165545,-3.0710379389872067,0.00399800099950025,0.028501878093211457
Thyroid cancer,32.46773304063651,0.7872035778838194,0.4447776111944028,0.6553056804930868
Ribosome biogenesis in eukaryotes,33.07945466507762,-2.7871450935509903,0.0074962518740629685,0.04733347611908331
Cytosolic DNA-sensing pathway,34.64764849865319,-1.4445683290002362,0.1454272863568216,0.3571047809428619
VEGF signaling pathway,34.99582444237939,-1.4846060592320038,0.136431784107946,0.3426298214529099
Hedgehog signaling pathway,35.0881206803562,-0.4179467261060075,0.6681659170414792,0.8069107522741361
Mitophagy - animal,35.65227216143108,-2.208918236847799,0.02798600699650175,0.1262226029842222
Ferroptosis,36.209304612010236,1.3585252045648095,0.175912043978011,0.3938081464318346
Endocrine and other factor-regulated calcium reabsorption,36.95068005263318,-0.5341379204937866,0.5932033983008496,0.7554422788605698
Antigen processing and presentation,37.38929938775253,0.111237046405344,0.9140429785107447,0.952846689862616
Carbohydrate digestion and absorption,38.050417307111125,0.9424485416203403,0.3373313343328336,0.5763058320463829
